Username;Comments;Favorites;Date;Tweet;Author Followers;Sentimiento
cordova_rusbel;0;0;7/10/2023 13:15; darle más poder a unos buenos para nada;21;Negativo
@vivalibertadpe;0;0;7 oct.; muy bien y que se larguen los cojudos de los ddhh;0;Positivo
javpalle;0;0;7/10/2023 13:07; irá la policía a las zonas peligrosas de las ciudades;203;Negativo
jodetx666;0;1;6/10/2023 12:15; 4 horas para q los propios tombos corruptos te metan miedo en el mejor de los casos te inventen qué tu celular es robado y te extorsionen en la comisaríaen el peor de los casos pero muy posible secuestros ambulatorios de 4 horas para sembrante y extorsionarte ;6;Negativo
@SalchiAvalos;0;0;6 oct.; asi fue antes ya era hora q vuelvan hacer eso;0;Negativo
Rick_oso24;0;1;6/10/2023 17:13; bueno se avecinan épocas de desapariciones;1;Positivo
Cesar97792858;0;0;6/10/2023 17:38; que entonces pueden sembrartecoimarte si les da la ganaque leyes mas estupidas hacen estas lacras congresistasvulneran nuestros derechos;34;Positivo
PolloFarsentePe;0;0;6/10/2023 12:30; olvidense q en este ano y con el gobierno de una golpista peru cerebrara lso navidades navidades y ano nuevo ya se cancelo queda te en casa sin agua sin luz sin trabajo sin comida;31;Negativo
@jorgealfi;0;0;6 oct.; así es como empiezan las dictaduras;0;Neutral
HinojosaSpike;0;0;6/10/2023 17:18; osea que te van a detener solo por la cara;354;Negativo
3Orlando88;0;1;7/10/2023 08:10; una estupidez más tercermundista acá en barcelona por más problemas de migrantes que hay ningún guardia te está pidiendo documento físico es inconstitucional;43;Positivo
@unoinfinito1;0;0;6 oct.; tierra de nadie perukistán cualquier cosa;0;Neutral
renayleoj1995;0;0;7/10/2023 01:12; la dictadura en su máximo esplendor ahora aprovechan los sembradores para hacer de las suyas;1;Positivo
Alejand11416630;0;1;6/10/2023 17:46; si esto no es una dictadura no se qué es una dictadura;1;Negativo
zavaleta_meza;0;0;8/10/2023 05:20; la medida es acertada   en forma perimetral y con cerco cerrado puede caer alguna gavillas de delincuentes;2;Positivo
dvch70;0;0;6/10/2023 21:58; inconstitucionalidad a la vista;72;Positivo
JhonnyLicla;0;0;7/10/2023 15:41; excelente un ciudadano de bien no tiene por que preocuparse lo mismo no podrían decir los que viven al margen de la ley;0;Negativo
MyCodeGenerator;0;1;7/10/2023 19:11; solo falta aclarar la definición de sospechoso o se lo van a dejar a criterio de los que sueltan delincuentes después de hacerles taxi unas cuadras adelante;54;Negativo
Joel74752671;0;0;6/10/2023 19:30; esta muy bien el dni es un documento que se tiene que llevar siempre y que te identifica;0;Positivo
EliabHahu;0;0;7/10/2023 07:19; más coimas para las policías excelente;63;Positivo
elvisbonillato1;0;1;6/10/2023 14:54; excelente estrategia ya es algo;0;Positivo
jorgealfi;0;1;6/10/2023 12:20; lamentablemente creo que se va a cometer un gran abuso de autoridad hacia los inocentes ciudadanos va a aparecer casos de corrupción coacción e infinidad de problemas se cometiera graves atropellos a la dignidad e integridad de la gran mayoría de la población;9;Negativo
@AngelBaldeon14;0;0;6 oct.; mejor dicho llenarán las comisarías de gente humilde y quizás mal vestidas y claro de color mestizo por qué a los blanquitos bien vestidos a esos hasta le agachan la cabeza;0;Positivo
carlosmoquilla5;0;0;6/10/2023 14:03; por  fin;0;Neutral
hannibal0309;0;2;6/10/2023 23:47; con esa preparación que tiene la pnp van a suceder abusos al por mayor ningún policía ha sido entrenado para servir si no para servirse httpstcomia0ycdufj;491;Neutral
pajaroazulperu;0;1;6/10/2023 12:54; me parece bien;2828;Negativo
SofiaCalvoDaza;0;1;6/10/2023 14:09; porque enfocan tan mal la noticia eso ya se podía de antes el cambio está en extranjero que aumentó hasta 12h;380;Neutral
Gonzales_1tusa;0;0;7/10/2023 17:28; a las motos de los venecos deberian intervenir mas;0;Negativo
Alejand45315784;0;0;8/10/2023 00:43; eso se presta a abusos policiales y abusos de poder;85;Positivo
alvarezmin85;0;0;7/10/2023 10:02; con la prestigiosa pnp que tenemos esto sera un caos;4;Negativo
THomofobico;0;0;6/10/2023 19:11; y si detienen llendo al trabajo;29;Negativo
monteguillermo;0;3;6/10/2023 14:31; considero correcto siempre y cuando no se cometa abusos o que se detenga para extorsionarlo y luego pedir una suma para dejarlos libre como solían hacer en los 90s tanto ep y pnp pedian dinero para dejarlos ir a aquellos que no portaban su dni casi lo mismo con los que tenían;18;Negativo
PattyAcurio;0;0;6/10/2023 14:58; nadie se dió cuenta xque es este declaró de emergencia por las marchas;30;Positivo
carlitosjj9;0;0;7/10/2023 00:08; y cuando fue necesario la presencia un fiscal o juez para que te soliciten dni;15;Neutral
Aventurero8415;0;0;6/10/2023 19:27; a la firme darle ese poder a estos inútiles de la penepe es como darle una metralleta a un chimpancé y a todo esto diré solo una cosita  mantengan su distancia no vaya a ser que los siembren con algo;369;Negativo
LuisLop10772090;0;2;6/10/2023 15:43; mal muy mal con la clase de policias que tenemos mas extorsion;4;Negativo
@Carlos26228899;0;0;6 oct.; estoy de acuerdo nunca olvidaré cuando recibí mi dni allá por el 98 el de reniec me dijo ahora eres mayor de edad no salgas sin tu dni así sabrán quien eres;0;Negativo
EternoLuissb901;0;0;6/10/2023 22:54; qué bueno  ante tanta delincuencia crimen extorsión robos a diario y violentistas terroristas y demás porquerías que abundanesperemos con  ansias que en un futuro cercano  podamos implantar la pena de muerte ;43;Positivo
vituchomanuel07;0;1;6/10/2023 14:33; eso se hace desde antes lleva tu dni y evita problemas recuerda el estado de emergencia;181;Negativo
OccPeru;0;0;6/10/2023 18:12; llevaré mi dni colgado al cuello como algunez lo hice con el carnet de vacunas covid;24;Positivo
@hannibal0309;0;0;6 oct.; sin dni dice ay mi ansiedad ;0;Neutral
AdrianCarmelo01;0;1;6/10/2023 20:44; creo que el ciudadano trabajador  sabe quienes delinquen quienes asesinan y quienes roban quienes extorsionan y que autoridades de la justicia los libera luego de ser apresados este sistema de justicia es una coladera mientras unos lo apresan otros lo liberan;6;Positivo
Chocolatex26;0;0;6/10/2023 18:13; darle tremendo a gente con secundaria completa es como darle una metralleta a un mono;40;Positivo
@PattyAcurio;0;0;6 oct.; no que va este gobierno no es represivo te quitan derechos después no se quejen fachos hijos de pta;0;Negativo
AngelBaldeon14;0;0;6/10/2023 22:07; que buena noticia;27;Positivo
@cerrobaulo;0;0;6 oct.; dictadura facista;0;Neutral
Andreav09271851;0;0;7/10/2023 01:43; sospechosos de tener plata  que puedan pagar ahí nomas para no llevarlos a la comisaría;6;Positivo
LCairampoma;0;6;6/10/2023 13:04; más negocios para los tombos policiaperu;42;Positivo
monikademon;0;2;6/10/2023 12:27; idiotez tras idiotez realmente este país;617;Positivo
valdivia345tom;0;0;8/10/2023 00:40; alguien que nos salve de los delincuentes alias honor y gloriaahora estaran empoderados y seguiran humillando y denigrando a los peruanos a futuro los oficiales de la policia y ffaa deben pasar por las armas con su ceremonia de deshonra como debe ser;1;Positivo
JudithSuly;0;0;7/10/2023 17:06; pobres angelitos qué dirán ahora;3;Positivo
AliagaDeAragon;0;0;6/10/2023 17:31; 4 horas para q te vaceen las cuentasahora te secuestran y no sabes si es pnp o choros;135;Neutral
DeliaMercedes2;0;0;9/10/2023 19:02; no se pasen esto ya es el colmo;35;Negativo
e2hd;0;0;6/10/2023 14:47; estamos peor que con castillo ;11;Positivo
mery_coila3;0;0;7/10/2023 06:20; ya estamos en dictadura;39;Neutral
Azathot00;0;0;6/10/2023 15:09; ojalá vayan a barrios picantes no a barrios tranquilos por que para el webeo son los primeros;24;Positivo
jorgeluislzr;0;0;7/10/2023 11:10; sospechoso veamos como le sacan la vuelta ciertos elementos;193;Positivo
ZAlmasy;0;0;6/10/2023 18:46; es peligroso darles un poder q no sabrán a usar a imbeciles abusivos;103;Negativo
AlguiarFiorella;0;23;6/10/2023 12:23; la democracia perecio en este pais corroido por bandas criminales y hampones de traje;60;Positivo
LukioTercer0;0;0;8/10/2023 10:58; antes ya lo hacían ;2;Negativo
CWanqa;0;10;6/10/2023 12:06; más arbitrariedad a la orden;406;Positivo
elcrackerman;0;0;6/10/2023 13:40; excelente aunque pensé que era una obligación estar siempre debidamente identificados toca ahora que inspectoría de la pnp haga operativos para sancionar públicamente a los agentes que lucren con esta norma;34;Positivo
LAMPA_2287;0;0;6/10/2023 13:58; podrán pueden hace años;717;Positivo
marcialjr271794;0;0;6/10/2023 15:22; ala q mierda es esto osea salgo a comprar el pan a las 6 de la mañana y regreso para q mis hijos tomen su desayuno a las 10 am solo pq a un tombo de mierda se le ocurre detenerme cuántas amas de casa van al mercado con dni  las retendrán a todas ellas x 4 horas;0;Positivo
Bryancg23;0;1;6/10/2023 14:30; habeas corpus o acción de amparo que procede ;20;Negativo
el_misioneroo;0;0;6/10/2023 19:59; le dan poder a los tombos ignorantes;0;Negativo
Cesar_Marin_M;0;0;7/10/2023 01:50; muy bien;8;Positivo
percobless;0;0;6/10/2023 14:09; justo se me pierde la billetera ayer ;1;Negativo
pcentenc;0;0;6/10/2023 17:55; eso ya estaba establecido ;4;Positivo
El_descamisado;0;2;6/10/2023 13:06; no esperaba otra cosa de un gobierno golpista y gorila;350;Negativo
OscarFloresfl74;0;0;6/10/2023 19:55; estamos recontra caga estamos a merced de esa tira de lacras no vengan con esa vaina de el que nada debe nada teme qué estaremos pagando;1;Negativo
jhencg3005;0;0;6/10/2023 21:59; que bien ;72;Neutral
Mariela86408109;0;1;6/10/2023 13:00; entonces los extranjeros indocumentados serán expulsados  mínimo con esto tal vez disminuya  tanta violencia;5;Positivo
SalchiAvalos;0;0;6/10/2023 15:28; es una arbitrariedad y es una norma incostitucional;182;Positivo
AngelFalse8;0;0;6/10/2023 23:18; ala si salgo a comer del trabajo tendré q llevar mi dni ahora;24;Positivo
rosarucoba;0;0;6/10/2023 16:12; ahora a cargar el dni en la cartera sin llorar ;246;Neutral
Felix66817911;0;3;6/10/2023 14:26; inconstitucional si este congreso aprueba eso ya seremos venezuela y nadie va a invertir en el perú este gobierno incapaz dictador q tiene el aval de la señora keiko fujimori debe largarse;64;Positivo
LouisAlbertX1;0;2;6/10/2023 12:32; sospechoso  color cartón o veneco caso contrario no pasa nada;0;Negativo
Dabe_12;0;1;6/10/2023 16:07; pepeleonmusic sin dni dice ay mi ansiedad ;18;Positivo
@PaitaOnLine;0;0;6 oct.; los que tienen rq estarán ajustando xd;0;Neutral
@Dabe_12;0;0;6 oct.; el manual policial para definir quiénes son sospechosos;0;Positivo
@jgaguedo;0;0;6 oct.; llevaré mi dni colgado al cuello como algunez lo hice con el carnet de vacunas covid;0;Positivo
@CarinaSarmien10;0;0;6 oct.; esa pnp te detiene y si quieren luego te desaparecen la asesina les está dando mucho poder;0;Positivo
Rommyloch;0;0;8/10/2023 03:37; es solo tener el dni esa ley es desde hace uff y solo si te ven sospechoso lo que cambia son las 12 horas para extranjeros;44;Neutral
@SofiaCalvoDaza;0;0;6 oct.; si esa norma la hubiera dado castillo edmalaga el imbecil alejomunante la chavetera y demas hijos de papá que parasitan el congresoperu estarían saliendo a gritar que atenta contra la libertad pero como es una orden de su cabecilla mafiosa a su títere gobierno… mudos;0;Negativo
tabernero_alex;0;0;6/10/2023 15:27; perfecto los únicos que van a reclamar son los delincuentes sus familias y los progres que los defienden;26;Positivo
lexanderhelbert;0;1;7/10/2023 02:45; basta que den su nombre y apellidos el número de dni fácilmente la pnp puede verificar y comprobar en sistema el rostro y si está requisitoriado porque hay personas que pueden olvidarse en llevar en físico sus dnis para que tanto problema estamos regresando al pasado ;5340;Negativo
@JorgeVi56085970;0;0;7 oct.; yo opino que de una vez salga a la luz la maquina qué lo ve y sabe todo;0;Negativo
bastos_j98;0;2;6/10/2023 14:05; a estas alturas de la vida quién anda sin dni no tendría que molestarte salvo que tengas un pendiente con la justicia por regularizar y todos estos años te la  pasaste caleta;19;Positivo
kevin778271282;0;0;6/10/2023 15:29; me voy a sentir ofendido si me intervienen;12;Positivo
cerrobaulo;0;0;7/10/2023 11:32; esa ley está desde el 2004que no se aplique por desidia flojera o corrupción es otra cosalas modificaciones son en el 4 respecto a extranjeroslean decreto legislativo nº 957 que regula el control de identidad policialart 205 4;39;Positivo
jgaguedo;0;0;7/10/2023 03:21; eso no es combatir la delincuencia están poniéndole un curita;248;Negativo
dmartinez178;2;0;6/10/2023 12:39; ya eso está pasando desde hace 15 días atrás aprox me pidieron mi documento en la av venezuela y me preguntaron hasta cuánto tiempo llevaba aquí y a que me dedicaba claro todo lo preguntaron con malicia y sarcasmo;85;Negativo
AlbertoPeUsEs;0;0;7/10/2023 01:21; este gobierno de la asesina db con su ventrílocuo ao y el congresoperu se están limpiando el poto con los derechos constitucionales;2;Positivo
Carlos26228899;0;0;6/10/2023 23:26; dada la situación  es necesario;685;Positivo
CardenEli;0;27;6/10/2023 12:24; así venezo empezuela;152;Positivo
@robertoomb;0;0;6 oct.; con esto se va confirmando que estamos en una dictadura;0;Positivo
Dennis_PE123;0;2;6/10/2023 15:27; van a ir por dirigentes sociales periodistas incomodos y demas gente que resulte intolerante a las acciones de la mafia caceria de brujas;71;Negativo
Alexgomu_;0;0;6/10/2023 14:47; propio de dictaduras;924;Neutral
@Alexgomu_;0;0;6 oct.; ¿detendrán a delincuentes de la pestilencia ¿o dejarán libres a autorxs comprobadxs para concentrarse sospechosamente solo en sospechosxs;0;Negativo
jordanmc197;0;2;6/10/2023 20:37; se vienen las supercoimas de tránsito libre algunas personas ni llevamos los documentos ni billetera solo la plata necesaria para ir al trabajo por el miedo a la delincuencia si pierdo mi dni sacar un duplicado demora como 7 a 14 días;131;Neutral
el_indigente3;0;1;6/10/2023 14:08; habrá coimas a diestra y siniestra;65;Positivo
MarkusRonjam;0;2;6/10/2023 14:14; los sembradores de placemes;325;Positivo
kurtnolte;0;1;6/10/2023 22:55; osea te pueden sembrar cualquier cojudes volvemos a los 90y ya sabemos en que termina todo esto;108;Negativo
hipp_life;0;0;6/10/2023 15:25; ahora si estamos en una dictadura;23;Neutral
ConsejosEsquina;0;0;6/10/2023 17:07; si van a retener a los ciudadanos deben poner cajeros electrónicos en todas las comisarías o normalizar el uso de yape por parte de la policía;361;Negativo
A87385106;0;0;8/10/2023 00:53; ni la fiscalia ni la justicia ni la policia se han ganado la confianza ni el respeto para aceptar esta desicion;1;Neutral
Pablo01193063;0;4;6/10/2023 17:04; me parece excelente mientras no se cometan excesos por otro lado ya saben sean responsables y lleven consigo su documento de identidad;3;Positivo
z_bird987;0;1;6/10/2023 21:25; ah pero a los chamos con armas ni se acercan zzz;110;Neutral
yaclyn;0;5;6/10/2023 14:48; a mi más sospechas me da la policía ;115;Negativo
gustbum;0;0;6/10/2023 18:19; es el comienzo de estado represor y aún más autoritario ;43;Negativo
@DoNotFollow74;0;0;7 oct.; dándole más poder a esas bestias que no tienen ni sentido común solo le sirven al dinero y al poder del asesino de turno que vergüenza da esa institución;0;Positivo
HijaDeSastre;0;3;6/10/2023 16:14; como diría molotov aunque no sepa leer no sepa hablar el es el que te brinda la “seguridad” en manos de esos estamos se vienen las sembradas y consecuentes coimas al por mayor;161;Negativo
@yaclyn;0;0;6 oct.; totalmente de acuerdo esta norma permitirá actuar con más determinación a la pnp contra personas con sospechas bien ahí ¿porqué las ongs de ddhh ponen el grito en el cielo ;0;Positivo
Danthex1;0;0;7/10/2023 22:54; la dina la va pagar muy caro y su caf1cho el hijo de  otárola también;3;Positivo
GaelRz04;0;0;8/10/2023 02:05; una cosa es el dni y otra cosa es el allanamiento de sus pertenencias del ciudadano donde si se necesita la presencia de un fiscal  porque ya tomaron por costumbre en revisar las cosas sin encontrar ningún acto de flagrancia;17;Negativo
MauroLazar;0;3;6/10/2023 13:48; secuestro con visita a los 7 bancos y puedas colaborar de manera voluntaria con una limosna para la inmaculada pnp;377;Positivo
MiguelSandovalA;0;0;6/10/2023 21:37; lo justo;59;Positivo
z_bird986;0;0;6 oct.; a quienes vean sospechosos o a quien creen que pueden sacarle plata esos vacíos legales se prestan para mucha hvda;0;Positivo
@cazarte_carlos;0;0;6 oct.; la modificación del código no ha afectado esa parte la noticia debería ser q la penepé puede detenerte hasta doce horas si sales sin documentos y sospechan q eres extranjero o lo eres se presta a discriminación y acciones arbitrarias contra población vulnerable;0;Negativo
MiguelA04899081;0;0;6/10/2023 14:42; ¿acusar y denunciar cuando están coimeando te pueden llevar a la cárcel policiaperu es una mordaza presidenciaperu dina asesina y el carnicero pcmperu;0;Negativo
LuisAri77761564;0;0;6/10/2023 21:50; todo es negociable no;1;Negativo
Morga_Ezra;1;0;6/10/2023 16:51; identificarse ante una autoridad debería ser lo más normal del mundo pero el problema es cuando hay abuso de una norma ejemplo ya hay una víctima de la ley de la legítima defensa aunque se trate de muerte entre delincuentes;5;Negativo
